locality_name;district_name;province_name
Roberto Cano;Rojas;Provincia de Buenos Aires
Rojas;Rojas;Provincia de Buenos Aires
Sol de Mayo;Rojas;Provincia de Buenos Aires
Villa Manuel Pomar;Rojas;Provincia de Buenos Aires
Villa Parque Cecir;Rojas;Provincia de Buenos Aires
Carlos Beguerie;Roque Pérez;Provincia de Buenos Aires
Roque Pérez;Roque Pérez;Provincia de Buenos Aires
Arroyo Corto;Saavedra;Provincia de Buenos Aires
Colonia San Martín;Saavedra;Provincia de Buenos Aires
Dufaur;Saavedra;Provincia de Buenos Aires
Espartillar;Saavedra;Provincia de Buenos Aires
Goyena;Saavedra;Provincia de Buenos Aires
Pigüé;Saavedra;Provincia de Buenos Aires
Saavedra;Saavedra;Provincia de Buenos Aires
